"ID","Nền tảng","Thiết bị nhập","Gesture/thao tác","Pha/thời điểm","Đang chọn nội dung","Đang stream","Hành vi hiện đã implement","Hành vi mong muốn","Ghi chú/rủi ro"
"G097","All","Content","Drag selection qua ranh giới paragraph/block","Đang kéo","FALSE","FALSE","SelectionArea native xử lý gesture; projection có mapping multi-block khi có SelectedContent.","","Cross-block selection"
"G098","All","Content","Drag selection qua ranh giới paragraph/block","Đang kéo","TRUE","FALSE","onSelectionChanged map selected plain text sang fullPlainText; copy ghép markdown giữa các block bằng \n\n.","","Anchor/extent khác block"
"G099","All","Content","Drag selection qua ranh giới paragraph/block","Đang kéo","FALSE","TRUE","Nếu selection được tạo, range được tính trên projection hiện tại.","","Block mới append/reflow"
"G100","All","Content","Drag selection qua ranh giới paragraph/block","Đang kéo","TRUE","TRUE","Projection/copy hỗ trợ multi-block bằng separator \n\n và source range tuyệt đối; khi scroll+stream lock range, copy vẫn lấy markdown theo source range hiện tại.","","Không được đổi sang block đang thấy"
"G101","All","Content","Drag selection qua code block","Đang kéo","FALSE","FALSE","Code block có semantic copy support; code UI dùng selectable text trực tiếp, không có lớp chọn ẩn riêng như trước.","","Text mapping trong code"
"G102","All","Content","Drag selection qua code block","Đang kéo","TRUE","FALSE","Copy mapper hỗ trợ code block: partial code selection trả fenced markdown phù hợp; UI selection phụ thuộc Flutter RichText/code block hiện tại.","","Range qua inline/code node"
"G103","All","Content","Drag selection qua code block","Đang kéo","FALSE","TRUE","Projection code block được rebuild theo markdown hiện tại; chưa có logic riêng cho visual fallback code khi stream.","","Code block height đổi khi stream"
"G104","All","Content","Drag selection qua code block","Đang kéo","TRUE","TRUE","Semantic projection/copy hỗ trợ fenced/indented code và giữ fence khi copy; source fallback visual cho code block không được implement riêng như inline text.","","Copy strategy có thể khác plain/html"
"G105","All","Content","Drag selection qua table/list boundary","Đang kéo","FALSE","FALSE","SelectionArea native xử lý gesture; mapper có logic riêng cho list/table khi có SelectedContent.","","Mapping markdown phức tạp"
"G106","All","Content","Drag selection qua table/list boundary","Đang kéo","TRUE","FALSE","List/table selection được map sang markdown semantic; list giữ marker, table dựng subset markdown table.","","Anchor/extent qua structural node"
"G107","All","Content","Drag selection qua table/list boundary","Đang kéo","FALSE","TRUE","Projection list/table được tính trên snapshot hiện tại; stream append không tự đổi source range đã lock.","","Table/list append hoặc reflow"
"G108","All","Content","Drag selection qua table/list boundary","Đang kéo","TRUE","TRUE","Projection/copy hỗ trợ list và table; table copy dựng lại markdown table theo cell range. Visual fallback chủ yếu dựa trên inline cell rendering và có thể không đầy đủ như paragraph.","","Range tuyệt đối phải ổn định"
"G109","All","Content","Tap/click link text","Discrete gesture","FALSE","FALSE","Link tap gọi onLinkTap nếu có, nếu không thì copy URL vào clipboard và hiện SnackBar.","","Open link hoặc focus selection"
"G110","All","Content","Tap/click link text","Discrete gesture","TRUE","FALSE","Tap link resolve bằng hit-test trên RenderParagraph selectable trực tiếp; không có special-case theo selection hiện tại.","","Open link hay preserve selection"
"G111","All","Content","Tap/click link text","Discrete gesture","FALSE","TRUE","Link tap dùng URL trên token hiện tại; nếu không có onLinkTap thì copy URL và hiện SnackBar.","","Link target có thể vừa render"
"G112","All","Content","Tap/click link text","Discrete gesture","TRUE","TRUE","Link tap dùng hit-test trên text thật; vẫn gọi onLinkTap hoặc default copy URL. Không có rule riêng để preserve/clear selection trước khi mở link.","","Không làm mất range ngoài ý muốn"
"G113","All","Content","Bấm nút copy của code block khi có markdown selection","Discrete command","FALSE","FALSE","Copy code block trực tiếp bằng Clipboard.setData(code).","","Copy code block"
"G114","All","Content","Bấm nút copy của code block khi có markdown selection","Discrete command","TRUE","FALSE","Code copy button ưu tiên copy code của block; selection cache không được dùng cho nút này.","","Ưu tiên code copy hay selection copy"
"G115","All","Content","Bấm nút copy của code block khi có markdown selection","Discrete command","FALSE","TRUE","Copy code hiện có trong block tại thời điểm bấm; không dùng markdown selection payload.","","Code block đang stream"
"G116","All","Content","Bấm nút copy của code block khi có markdown selection","Discrete command","TRUE","TRUE","Nút copy code block gọi Clipboard.setData(code) trực tiếp, độc lập selectionStrategy và không clear cached markdown selection.","","Tránh copy nhầm selection đang lock"
"G117","All","System/Layout","Window resize hoặc orientation change","Layout change","FALSE","FALSE","Layout rebuild mặc định.","","Recompute render projection"
"G118","All","System/Layout","Window resize hoặc orientation change","Layout change","TRUE","FALSE","Không có resize handler riêng; cached source/plain range giữ nguyên, visual phụ thuộc native SelectionArea trực tiếp hoặc fallback nếu đã locked.","","Selection range giữ nguyên, direct selection reproject"
"G119","All","System/Layout","Window resize hoặc orientation change","Layout change","FALSE","TRUE","Renderer/layout rebuild mặc định; không có selection range để lock.","","Resize trong lúc stream"
"G120","All","System/Layout","Window resize hoặc orientation change","Layout change","TRUE","TRUE","Không có resize handler riêng. Nếu projection đổi thì cơ chế didUpdateWidget có thể freeze/clear native visual; nếu chỉ đổi layout thì framework reproject native selection hoặc source fallback theo range hiện có.","","Không remap range theo visual position cũ"
"G121","All","System/Layout","Stream append/reflow không có pointer input","Layout change","FALSE","FALSE","Không áp dụng.","","Không áp dụng"
"G122","All","System/Layout","Stream append/reflow không có pointer input","Layout change","TRUE","FALSE","Không có stream nên không có projection mutation; cached range giữ nguyên.","","Không áp dụng"
"G123","All","System/Layout","Stream append/reflow không có pointer input","Layout change","FALSE","TRUE","Renderer cập nhật projection và animation bình thường; không có selection cache.","","Append bình thường"
"G124","All","System/Layout","Stream append/reflow không có pointer input","Layout change","TRUE","TRUE","didUpdateWidget so sánh projection. Nếu selection pointer-created và selected source substring không đổi thì không freeze chỉ vì append; nếu locked/visual active/not pointer-created hoặc source substring đổi/mất thì freeze và schedule clear native visual.","","Selection đã lock phải giữ absolute index"
"G125","All","System/Layout","App mất focus/background tab","Focus/lifecycle change","FALSE","FALSE","Không có behavior riêng.","","No-op"
"G126","All","System/Layout","App mất focus/background tab","Focus/lifecycle change","TRUE","FALSE","Mất focus clear cache trừ khi selection đang locked với source range.","","Giữ hay clear selection"
"G127","All","System/Layout","App mất focus/background tab","Focus/lifecycle change","FALSE","TRUE","Không selection cache; stream/lifecycle ngoài scope widget.","","Stream có thể tiếp tục"
"G128","All","System/Layout","App mất focus/background tab","Focus/lifecycle change","TRUE","TRUE","Focus listener clear cache nếu selection không locked; nếu locked và có source range thì giữ cache để copy tiếp khi quay lại.","","Khi quay lại không được nhảy range"
